Accession Number,Image File,Main Title,Parent Title,Object Type,Creator Name,Creator Birth Year,Creator Death Year,Creator Nationality,Creator Gender,Creator Role,Creator Birth Place,Creator Death Place,Additional Creator Name,Additional Creator Birth Year,Additional Creator Death Year,Additional Creator Nationality,Additional Creator Gender,Additional Creator Birth Location,Additional Creator Death Location,Additional Creator Role,Earliest Date Created,Latest Date Created,Display Date Created,Credit Line,Copyright,Medium,Subject Keywords,Object Link,Measurement Height,Measurement Width,Measurement Depth,Measurement Units,Measurement Extent,Related Object ID,Related Object Relationship Type,Related Object Note
1995.3,ACMAA_1995-3.tif,The Rattlesnake,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1905,1905,1905,"Amon Carter Museum of American Art, Fort Worth, Texas, Presented in Honor of Boone Blakeley for Service to Amon G. Carter, Sr. and the Carter Family, 1941-1995",,Bronze,"horses, Rattlesnakes, Cowboys, saddle, Animals",http://www.cartermuseum.org/artworks/2697,60.3,28,53.3,cm,,,,
1995.9,ACMAA_1995-9.tif,Chimney and Water Tower,,paintings,Charles Demuth,1883,1935,American,male,artist,"Lancaster, Pennsylvania","Lancaster, Pennsylvania",,,,,,,,,1931,1931,1931,"Amon Carter Museum of American Art, Fort Worth, Texas",,Oil on composition board,"Precisionism, industry, industrial buildings, Lancaster, Pennsylvania, factories, architecture",http://www.cartermuseum.org/custom/acm_display.php?irn=50581&QueryPage=%2Fcustom%2F,76.2,61,,cm,,,,
1996.11,ACMAA_1996-11.tif,In the Greenhouse,,paintings,Dennis Miller Bunker,1861,1890,American,male,artist,"New York, New York","Boston, Massachusetts",,,,,,,,,1888,1888,1888,"Amon Carter Museum of American Art, Fort Worth, Texas, Acquisition in honor of Adelyn Dohme Breeskin, Trustee, Amon Carter Museum of American Art, 1972-1982",,Oil on canvas,"Impressionism, gardens, greenhouses, Flowers, Plants",http://www.cartermuseum.org/custom/acm_display.php?irn=62376&QueryPage=%2Fcustom%2Findex.php,45.7,61,,cm,,,,
1996.3,ACMAA_1996-3.tif,The Sergeant,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1904,1904,1904,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"U.S. Army, Indian Wars, soldiers, busts, cavalry",http://www.cartermuseum.org/artworks/2698,26,14,11.4,cm,,,,
1996.9,ACMAA_1996-9.tif,Egg Beater No. 2,,paintings,Stuart Davis,1892,1964,American,male,artist,"Philadelphia, Pennsylvania","New York, New York",,,,,,,,,1928,1928,1928,"Amon Carter Museum of American Art, Fort Worth, Texas",,Oil on canvas,"abstract, still lifes, Cubism, eggbeaters",http://www.cartermuseum.org/custom/acm_display.php?irn=107494&QueryPage=%2Fcustom%2F,74,91.4,,cm,,,,
1997.1,ACMAA_1997-1.tif,Untitled,,drawings,Georgia O'Keeffe,1887,1986,American,female,artist,"Sun Prairie, Wisconsin","Santa Fe, New Mexico",,,,,,,,,1915,1915,1915,"Amon Carter Museum of American Art, Fort Worth, Texas, Partial gift of The Georgia O'Keeffe Foundation",,Charcoal on paper,"Abstract, landscapes",http://www.cartermuseum.org/custom/acm_display.php?irn=37&QueryPage=%2Fcustom%2Findex.php,61.6,47.6,,cm,,,,
1997.140,ACMAA_1997-140.tif,The Cheyenne,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1901,1901,1901,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Cheyenne, horses, Indians of North America, Animals",http://www.cartermuseum.org/artworks/2699,52.1,59,20.3,cm,,,,
1997.141,ACMAA_1997-141.tif,The Mountain Sheep,,sculpture,Charles M. Russell,1864,1926,American,male,artist,"St. Louis, Missouri","Great Falls, Montana",,,,,,,,,1910,1910,1910,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"bighorn sheep, Animals",http://www.cartermuseum.org/artworks/2700,10.2,12.7,7.6,cm,,,,
1997.143,ACMAA_1997-143.tif,The Choosing of the Arrow,,sculpture,Henry Kirke Brown,1814,1886,American,male,artist,"Leyden, Massachusetts","Newburgh, New York",,,,,,,,,1848,1848,1848,"Amon Carter Museum of American Art, Fort Worth, Texas, Purchase with funds from the Ruth Carter Stevenson Acquisitions Endowment",,Bronze,"boy, Indians of North America, classical, hunt, hunter, Renaissance",http://www.cartermuseum.org/custom/acm_display.php?irn=136363&QueryPage=%2Fcustom%2F,54,16,14,cm,,,,
1997.2,ACMAA_1997-2.tif,Drawing No. 18,,drawings,Georgia O'Keeffe,1887,1986,American,female,artist,"Sun Prairie, Wisconsin","Santa Fe, New Mexico",,,,,,,,,1919,1919,1919,"Amon Carter Museum of American Art, Fort Worth, Texas, Partial gift of The Georgia O'Keeffe Foundation",,Charcoal on paper,"Abstract, trees, Plants, landscapes",http://www.cartermuseum.org/custom/acm_display.php?irn=71263&QueryPage=%2Fcustom%2Findex.php,48.3,63.5,,cm,,,,
1997.4.A,ACMAA_1997-4-A.tif,Breakdown,,planographic prints,William Henry Johnson,1901,1970,American,male,artist,"Florence, South Carolina","Long Island, New York",,,,,,,,,1940,1941,1941,"Amon Carter Museum of American Art, Fort Worth, Texas, Purchase with funds provided by the Council of the Amon Carter Museum of American Art",,Modified screen print,"South Carolina, African-American, automobiles",http://www.cartermuseum.org/custom/acm_display.php?irn=103976&QueryPage=%2Fcustom%2Findex.php,36,45.4,,cm,,,,
1997.6.1,ACMAA_1997-6-1.tif,"Annette Kellerman, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"Actresses, actors, swimmers, swimming, Diving, women, performing artists, caricatures, portraits, athletes, profiles, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=70654&QueryPage=%2Fcustom%2F,39.7,26.4,,cm,image,,,
1997.6.10,ACMAA_1997-6-10.tif,"Thomas Wise and William Courtenay, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=116023&QueryPage=%2Fcustom%2F,39.4,26.4,,cm,image,,,
1997.6.11,ACMAA_1997-6-11.tif,"Ethel Barrymore, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses, profiles",http://www.cartermuseum.org/custom/acm_display.php?irn=8596&QueryPage=%2Fcustom%2F,25.7,16.5,,cm,image,,,
1997.6.12,ACMAA_1997-6-12.tif,"John Drew, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, sculpture, statues",http://www.cartermuseum.org/custom/acm_display.php?irn=141057&QueryPage=%2Fcustom%2F,29.9,18.7,,cm,image,,,
1997.6.13,ACMAA_1997-6-13.tif,"Bert Williams, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Blackface entertainers, comedians, tuxedoes, profiles, African American",http://www.cartermuseum.org/custom/acm_display.php?irn=19758&QueryPage=%2Fcustom%2F,31.4,21,,cm,image,,,
1997.6.14,ACMAA_1997-6-14.tif,"Fritzi Scheff, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses, Opera singers, musicians, Drums, musical instruments, profiles",http://www.cartermuseum.org/custom/acm_display.php?irn=88682&QueryPage=%2Fcustom%2F,31.1,21.3,,cm,image,,,
1997.6.15,ACMAA_1997-6-15.tif,"Maude Adams, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses",http://www.cartermuseum.org/custom/acm_display.php?irn=120135&QueryPage=%2Fcustom%2F,31.1,21.6,,cm,image,,,
1997.6.16,ACMAA_1997-6-16.tif,"William Collier, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, tuxedoes",http://www.cartermuseum.org/custom/acm_display.php?irn=103006&QueryPage=%2Fcustom%2F,40.3,23.8,,cm,image,,,
1997.6.17,ACMAA_1997-6-17.tif,"George M. Cohan, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, canes, walking",http://www.cartermuseum.org/custom/acm_display.php?irn=44361&QueryPage=%2Fcustom%2F,31.8,21.3,,cm,image,,,
1997.6.18,ACMAA_1997-6-18.tif,"Alla Nazimova, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses, profiles",http://www.cartermuseum.org/custom/acm_display.php?irn=40169&QueryPage=%2Fcustom%2F,31.8,13.7,,cm,image,,,
1997.6.19,ACMAA_1997-6-19.tif,"Frances Starr, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses, profiles",http://www.cartermuseum.org/custom/acm_display.php?irn=15470&QueryPage=%2Fcustom%2F,35.9,25.1,,cm,image,,,
1997.6.2,ACMAA_1997-6-2.tif,"Leo Dietrichstein, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, profiles, playwrights, monocles, eyeglasses, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=106145&QueryPage=%2Fcustom%2F,41.6,15.9,,cm,image,,,
1997.6.20,ACMAA_1997-6-20.tif,"Forbes-Robertson, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, monocles, eyeglasses, profiles",http://www.cartermuseum.org/custom/acm_display.php?irn=15471&QueryPage=%2Fcustom%2F,35.9,25.4,,cm,image,,,
1997.6.21,ACMAA_1997-6-21.tif,"Yvette Guilbert, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses, singers",http://www.cartermuseum.org/custom/acm_display.php?irn=91366&QueryPage=%2Fcustom%2F,37.2,26.7,,cm,image,,,
1997.6.22,ACMAA_1997-6-22.tif,"Wilton Lackaye, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=112186&QueryPage=%2Fcustom%2F,40.3,27.6,,cm,image,,,
1997.6.23,ACMAA_1997-6-23.tif,"Arnold Daly, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=119236&QueryPage=%2Fcustom%2F,31.8,21.6,,cm,image,,,
1997.6.24,ACMAA_1997-6-24.tif,"Jacob Ben Ami, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=21347&QueryPage=%2Fcustom%2F,31.8,21,,cm,image,,,
1997.6.25,ACMAA_1997-6-25.tif,"Roland Young, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, profiles",http://www.cartermuseum.org/custom/acm_display.php?irn=49701&QueryPage=%2Fcustom%2F,38.4,25.1,,cm,image,,,
1997.6.26,ACMAA_1997-6-26.tif,"Leon Errol, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, comedians",http://www.cartermuseum.org/custom/acm_display.php?irn=59721&QueryPage=%2Fcustom%2F,34.3,25.7,,cm,image,,,
1997.6.27,ACMAA_1997-6-27.tif,"Otis Skinner, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Fictitious characters, turbans",http://www.cartermuseum.org/custom/acm_display.php?irn=89229&QueryPage=%2Fcustom%2F,24,26,,cm,image,,,
1997.6.28,ACMAA_1997-6-28.tif,"Mrs. Fiske, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses",http://www.cartermuseum.org/custom/acm_display.php?irn=112537&QueryPage=%2Fcustom%2F,29.5,24.1,,cm,image,,,
1997.6.29,ACMAA_1997-6-29.tif,"Nat Goodwin, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, tuxedoes",http://www.cartermuseum.org/custom/acm_display.php?irn=110303&QueryPage=%2Fcustom%2F,36.2,25.7,,cm,image,,,
1997.6.3,ACMAA_1997-6-3.tif,"Julia Marlowe, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"Actresses, actors, women, performing artists, caricatures, portraits, profiles, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=114776&QueryPage=%2Fcustom%2F,28.9,24.1,,cm,image,,,
1997.6.30,ACMAA_1997-6-30.tif,"Francis Wilson and De Wolf Hopper, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=110304&QueryPage=%2Fcustom%2F,32.4,27.6,,cm,image,,,
1997.6.31,ACMAA_1997-6-31.tif,"Marie Dressler, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses",http://www.cartermuseum.org/custom/acm_display.php?irn=19970&QueryPage=%2Fcustom%2F,37.2,26.7,,cm,image,,,
1997.6.32,ACMAA_1997-6-32.tif,"Barney Bernard, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, tuxedoes",http://www.cartermuseum.org/custom/acm_display.php?irn=1339&QueryPage=%2Fcustom%2F,27,19.7,,cm,image,,,
1997.6.33,ACMAA_1997-6-33.tif,"Daniel Warfield and Marie Bates, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses",http://www.cartermuseum.org/custom/acm_display.php?irn=3904&QueryPage=%2Fcustom%2F,35.6,26.7,,cm,image,,,
1997.6.34,ACMAA_1997-6-34.tif,"Joe Weber and Lew Fields, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=86423&QueryPage=%2Fcustom%2F,37.2,27.3,,cm,image,,,
1997.6.35,ACMAA_1997-6-35.tif,"Mary Nash, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses",http://www.cartermuseum.org/custom/acm_display.php?irn=123047&QueryPage=%2Fcustom%2F,31.4,21.6,,cm,image,,,
1997.6.36,ACMAA_1997-6-36.tif,"Norman Trevor, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, tuxedoes, athletes",http://www.cartermuseum.org/custom/acm_display.php?irn=104950&QueryPage=%2Fcustom%2F,39.4,25.4,,cm,image,,,
1997.6.37,ACMAA_1997-6-37.tif,"Raymond Hitchcock, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=56855&QueryPage=%2Fcustom%2F,40,23.8,,cm,image,,,
1997.6.4,ACMAA_1997-6-4.tif,"George Arliss, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, playwrights, performing artists, caricatures, portraits, profiles, humor",http://www.cartermuseum.org/custom/acm_display.php?irn=11606&QueryPage=%2Fcustom%2F,37.5,23.8,,cm,image,,,
1997.6.5,ACMAA_1997-6-5.tif,"William Faversham, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, tuxedoes",http://www.cartermuseum.org/custom/acm_display.php?irn=10054&QueryPage=%2Fcustom%2F,33.7,20,,cm,image,,,
1997.6.6,ACMAA_1997-6-6.tif,"Lillian Russell, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Actresses",http://www.cartermuseum.org/custom/acm_display.php?irn=19938&QueryPage=%2Fcustom%2F,36.2,25.7,,cm,image,,,
1997.6.7,ACMAA_1997-6-7.tif,"James T. Powers, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, comedians, top hats",http://www.cartermuseum.org/custom/acm_display.php?irn=88517&QueryPage=%2Fcustom%2F,37.2,23.5,,cm,image,,,
1997.6.8,ACMAA_1997-6-8.tif,"William Gillette, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, Smoking, Cigars, playwrights",http://www.cartermuseum.org/custom/acm_display.php?irn=120040&QueryPage=%2Fcustom%2F,39.1,15,,cm,image,,,
1997.6.9,ACMAA_1997-6-9.tif,"Robert Edeson, from Stage Folk",,relief prints,Alfred J. Frueh,1880,1968,American,male,artist,"Lima, Ohio","Sharon, Connecticut",,,,,,,,,1922,1922,1922,"Amon Carter Museum of American Art, Fort Worth, Texas",,Linocut,"actors, performing artists, caricatures, portraits, humor, profiles",http://www.cartermuseum.org/custom/acm_display.php?irn=103057&QueryPage=%2Fcustom%2F,29.2,15,,cm,image,,,
1998.10,ACMAA_1998-10.tif,"A Cloudy Day, Bluebonnets near San Antonio, Texas",,paintings,Julian Onderdonk,1882,1922,American,male,artist,"San Antonio, Texas","San Antonio, Texas",,,,,,,,,1918,1918,1918,"Amon Carter Museum of American Art, Fort Worth, Texas, Purchase with funds from the Ruth Carter Stevenson Acquisitions Endowment, in honor of Lady Bird Johnson",,Oil on canvas,"bluebonnets, San Antonio, Texas, landscapes, wildflowers",http://www.cartermuseum.org/custom/acm_display.php?irn=113711&QueryPage=%2Fcustom%2Findex.php,63.8,76.5,,cm,,,,
1998.26,ACMAA_1998-26.tif,Kaaterskill Falls,,watercolors,Henry Roderick Newman,1843,1917,American,male,artist,"Easton, New York","Florence, Italy",,,,,,,,,1869,1869,1869,"Amon Carter Museum of American Art, Fort Worth, Texas, Purchase with funds provided by the Council of the Amon Carter Museum of American Art",,Transparent and opaque watercolor on paper,"cascades, waterfall, Catskill Mountains, New York, Pre-Raphaelite, landscapes",http://www.cartermuseum.org/custom/acm_display.php?irn=139193&QueryPage=%2Fcustom%2Findex.php,26.4,25.4,,cm,image,,,
1999.17,ACMAA_1999-17.tif,Lassoing Wild Horses,,sculpture,Solon Borglum,1868,1922,American,male,artist,"Ogden, Utah","Stamford, Connecticut",,,,,,,,,1902,1902,1902,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Cowboys, Horses, Animals, Roping",http://www.cartermuseum.org/custom/acm_display.php?irn=96722&QueryPage=%2Fcustom%2Findex.php,76.2,81.3,55.9,cm,,,,
1999.18,ACMAA_1999-18.tif,Bust of an American Indian,,sculpture,Henry Kirke Brown,1814,1886,American,male,artist,"Leyden, Massachusetts","Newburgh, New York",,,,,,,,,1848,1849,1849,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"portraits, Indians of North America, Native American, busts, men",http://www.cartermuseum.org/custom/acm_display.php?irn=113637&QueryPage=%2Fcustom%2Findex.php,21,8.6,6.7,cm,,,,
1999.19,ACMAA_1999-19.tif,Head of an American Indian,,sculpture,Henry Kirke Brown,1814,1886,American,male,artist,"Leyden, Massachusetts","Newburgh, New York",,,,,,,,,1848,1849,1849,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"portraits, Indians of North America, Native American, busts, men",http://www.cartermuseum.org/custom/acm_display.php?irn=63536&QueryPage=%2Fcustom%2Findex.php,19.4,6,6.7,cm,,,,
1999.20,ACMAA_1999-20.tif,Alice Vanderbilt Shepard,,paintings,John Singer Sargent,1856,1925,American,male,artist,"Florence, Italy","London, England",,,,,,,,,1888,1888,1888,"Amon Carter Museum of American Art, Fort Worth, Texas",,Oil on canvas,"girls, portraits, children",http://www.cartermuseum.org/custom/acm_display.php?irn=63538&QueryPage=%2Fcustom%2Findex.php,76.4,55.9,,cm,,,,
1999.21,ACMAA_1999-21.tif,Elk Buffalo,,sculpture,Henry Merwin Shrady,1871,1922,American,male,artist,"New York, New York","New York, New York",,,,,,,,,1899,1899,1899,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"buffalo, Bison, Animals",http://www.cartermuseum.org/custom/acm_display.php?irn=62381&QueryPage=%2Fcustom%2Findex.php,35.6,34.3,25.4,cm,,,,
1999.22,ACMAA_1999-22.tif,The Outlaw,,sculpture,Frederic Remington,1861,1909,American,male,artist,"Canton, New York","Ridgefield, Connecticut",,,,,,,,,1906,1906,1906,"Amon Carter Museum of American Art, Fort Worth, Texas",,Bronze,"Cowboys, bronc busting, rodeo, chaps, horses",http://www.cartermuseum.org/custom/acm_display.php?irn=31627&QueryPage=%2Fcustom%2Findex.php,59.7,36.2,19.7,cm,,,,
1999.25.15,ACMAA_1999-25-15.tif,Sculpture on Church of San Jose,,drawings,James Gilchrist Benton,1825,1861,American,male,artist,"Lebanon, New Hampshire","Springfield, Massachusetts",,,,,,,,,1852,1852,1852,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink on paper,"sculpture, madonna and child, mission, San Antonio, TX",http://www.cartermuseum.org/custom/acm_display.php?irn=21955&QueryPage=%2Fcustom%2Findex.php,21.6,13.6,,cm,,,,
1999.25.16,ACMAA_1999-25-16.tif,"Interior of Church, San JosÈ",,drawings,James Gilchrist Benton,1825,1861,American,male,artist,"Lebanon, New Hampshire","Springfield, Massachusetts",,,,,,,,,1852,1852,1852,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink on paper,"mission churches, San Antonio, Texas, Interiors, architecture, buildings",http://www.cartermuseum.org/custom/acm_display.php?irn=138103&QueryPage=%2Fcustom%2Findex.php,27.6,20.8,,cm,,,,
1999.25.18,ACMAA_1999-25-18.tif,Chihuahua Wagons Camped near San Antonio.  May 1st 1852,,drawings,James Gilchrist Benton,1825,1861,American,male,artist,"Lebanon, New Hampshire","Springfield, Massachusetts",,,,,,,,,1852,1852,1852,"Amon Carter Museum of American Art, Fort Worth, Texas",,Ink and opaque watercolor on paper,"camp, wagon train",http://www.cartermuseum.org/custom/acm_display.php?irn=93741&QueryPage=%2Fcustom%2Findex.php,21.1,30.2,,cm,,,,
